# 目录	展示标题	文件名；由 build_cover_manifest.py 自动生成。
	总览	总览
计算机网络	从 IP 地址找到 MAC 地址	从 IP 地址找到 MAC 地址
计算机网络	子网与 CIDR	子网与 CIDR
计算机网络	IPv4 数据包	IPv4 数据包
计算机网络	交换机	交换机
计算机网络	尝试连接两台计算机	尝试连接两台计算机
计算机网络	MAC 地址	MAC 地址
计算机网络	带宽、时延与吞吐量	带宽、时延与吞吐量
计算机网络	以太网	以太网
计算机网络	信号与传输介质	信号与传输介质
计算机网络	数据帧的边界	数据帧的边界
计算机网络	共享信道与冲突	共享信道与冲突
计算机网络	发现传输出错	发现传输出错
计算机网络	编码、时钟与噪声	编码、时钟与噪声
附加章	附加章四：人工智能	附加章四：人工智能
附加章	附加章九：信息科学与数学	附加章九：信息科学与数学
附加章	附加章三：区块链	附加章三：区块链
附加章	附加章一：大数据	附加章一：大数据
附加章	并行计算基础	并行计算基础
附加章	附加章八：数据一致性	附加章八：数据一致性
附加章	附加章二：数据加密	附加章二：数据加密
附加章	附加章五：数据备份	附加章五：数据备份
附加章	附加章七：晶体管	附加章七：晶体管
附加章	附加章十二：永不止息的安全与攻防	附加章十二：永不止息的安全与攻防
附加章	附加章十：测试	附加章十：测试
附加章	附加章十一：漏洞与病毒	附加章十一：漏洞与病毒
附加章	附加章十三（终章）：计算机科学的未来	附加章十三（终章）：计算机科学的未来
附加章	附加章六：量子计算机	附加章六：量子计算机
计算机网络	路由器与逐跳转发	路由器与逐跳转发
计算机网络	路由表与最长前缀匹配	路由表与最长前缀匹配
计算机网络	MTU 与分片	MTU 与分片
计算机网络	ICMP	ICMP
计算机网络	IPv6（进阶）	IPv6（进阶）
计算机网络	路径选择问题	路径选择问题
计算机网络	距离向量路由	距离向量路由
计算机网络	链路状态路由	链路状态路由
计算机网络	自治系统与 BGP（进阶）	自治系统与 BGP（进阶）
计算机网络	端口	端口
计算机网络	UDP	UDP
计算机网络	TCP 为什么需要连接	TCP 为什么需要连接
计算机网络	三次握手	三次握手
计算机网络	序号与确认	序号与确认
计算机网络	超时与重传	超时与重传
计算机网络	滑动窗口	滑动窗口
计算机网络	流量控制	流量控制
计算机网络	网络为什么会拥塞	网络为什么会拥塞
计算机网络	拥塞控制（进阶）	拥塞控制（进阶）
计算机网络	连接关闭与 TIME_WAIT（进阶）	连接关闭与 TIME_WAIT（进阶）
计算机网络	NAT	NAT
计算机网络	套接字	套接字
计算机网络	DNS 的名字空间	DNS 的名字空间
计算机网络	DNS 查询与缓存	DNS 查询与缓存
计算机网络	HTTP 请求与响应	HTTP 请求与响应
计算机网络	HTTP 连接与版本演进	HTTP 连接与版本演进
计算机网络	Cookie 与会话	Cookie 与会话
计算机网络	缓存、代理与 CDN	缓存、代理与 CDN
计算机网络	窃听与对称加密	窃听与对称加密
计算机网络	篡改与消息认证	篡改与消息认证
计算机网络	公钥、私钥与数字签名	公钥、私钥与数字签名
计算机网络	密钥交换	密钥交换
计算机网络	证书与信任链	证书与信任链
计算机网络	TLS 握手与 HTTPS	TLS 握手与 HTTPS
计算机网络	防火墙	防火墙
计算机网络	网络故障诊断	网络故障诊断
计算机网络	一次网络请求的完整旅程（总装）	一次网络请求的完整旅程（总装）
数据结构与算法	数据为什么需要组织	数据为什么需要组织
数据结构与算法	抽象数据类型	抽象数据类型
数据结构与算法	算法与正确性	算法与正确性
数据结构与算法	输入规模与增长速度	输入规模与增长速度
数据结构与算法	大 O 记号	大 O 记号
数据结构与算法	常见增长速度	常见增长速度
数据结构与算法	最好、最坏与平均情况	最好、最坏与平均情况
数据结构与算法	时间与空间的交换	时间与空间的交换
数据结构与算法	摊还分析（进阶）	摊还分析（进阶）
数据结构与算法	数组	数组
数据结构与算法	动态数组	动态数组
数据结构与算法	字符串	字符串
数据结构与算法	顺序查找与二分查找	顺序查找与二分查找
数据结构与算法	引用与指针	引用与指针
数据结构与算法	单向链表	单向链表
数据结构与算法	双向链表与循环链表（进阶）	双向链表与循环链表（进阶）
数据结构与算法	栈	栈
数据结构与算法	队列与双端队列	队列与双端队列
数据结构与算法	读懂递归	读懂递归
数据结构与算法	设计递归	设计递归
数据结构与算法	哈希函数与哈希表	哈希函数与哈希表
数据结构与算法	拉链法处理冲突	拉链法处理冲突
数据结构与算法	开放寻址处理冲突	开放寻址处理冲突
数据结构与算法	负载因子与扩容	负载因子与扩容
数据结构与算法	集合与映射	集合与映射
数据结构与算法	树	树
数据结构与算法	二叉树与递归遍历	二叉树与递归遍历
数据结构与算法	二叉搜索树	二叉搜索树
数据结构与算法	删除节点与树的退化	删除节点与树的退化
数据结构与算法	平衡树（进阶）	平衡树（进阶）
数据结构与算法	堆	堆
数据结构与算法	优先队列	优先队列
数据结构与算法	字典树（进阶）	字典树（进阶）
数据结构与算法	图	图
数据结构与算法	图的表示	图的表示
数据结构与算法	广度优先搜索	广度优先搜索
数据结构与算法	深度优先搜索	深度优先搜索
数据结构与算法	连通分量与环	连通分量与环
数据结构与算法	拓扑排序	拓扑排序
数据结构与算法	无权图的最短路径	无权图的最短路径
数据结构与算法	Dijkstra 算法	Dijkstra 算法
数据结构与算法	负权边与 Bellman–Ford（进阶）	负权边与 Bellman–Ford（进阶）
数据结构与算法	并查集（进阶）	并查集（进阶）
数据结构与算法	最小生成树（进阶）	最小生成树（进阶）
数据结构与算法	排序问题与稳定性	排序问题与稳定性
数据结构与算法	冒泡排序与选择排序	冒泡排序与选择排序
数据结构与算法	插入排序	插入排序
数据结构与算法	分治	分治
数据结构与算法	归并排序	归并排序
数据结构与算法	快速排序	快速排序
数据结构与算法	堆排序	堆排序
数据结构与算法	计数排序与基数排序（进阶）	计数排序与基数排序（进阶）
数据结构与算法	比较排序的下限（进阶）	比较排序的下限（进阶）
数据结构与算法	外部排序（进阶）	外部排序（进阶）
数据结构与算法	贪心选择	贪心选择
数据结构与算法	证明或推翻贪心策略	证明或推翻贪心策略
数据结构与算法	动态规划从哪里来	动态规划从哪里来
数据结构与算法	从递归到记忆化搜索	从递归到记忆化搜索
数据结构与算法	自底向上的状态转移	自底向上的状态转移
数据结构与算法	完整设计一个动态规划	完整设计一个动态规划
数据结构与算法	回溯与搜索树	回溯与搜索树
数据结构与算法	剪枝	剪枝
数据结构与算法	从暴力搜索到更好算法	从暴力搜索到更好算法
数据结构与算法	没有万能的数据结构和算法（总装）	没有万能的数据结构和算法（总装）
编译原理	从字符串变为程序	从字符串变为程序
编译原理	语言与文法	语言与文法
编译原理	字符怎样组成词	字符怎样组成词
编译原理	手写词法分析器	手写词法分析器
编译原理	正则表达式	正则表达式
编译原理	有限自动机（进阶）	有限自动机（进阶）
编译原理	语法分析要解决什么	语法分析要解决什么
编译原理	上下文无关文法	上下文无关文法
编译原理	递归下降分析	递归下降分析
编译原理	表达式的优先级与结合性	表达式的优先级与结合性
编译原理	歧义文法	歧义文法
编译原理	预测分析（进阶）	预测分析（进阶）
编译原理	移进归约分析（进阶）	移进归约分析（进阶）
编译原理	语法错误与恢复	语法错误与恢复
编译原理	语法树与抽象语法树	语法树与抽象语法树
编译原理	符号表	符号表
编译原理	作用域	作用域
编译原理	名字解析	名字解析
编译原理	类型系统	类型系统
编译原理	表达式的类型检查	表达式的类型检查
编译原理	函数与控制流的语义检查	函数与控制流的语义检查
编译原理	类型转换	类型转换
编译原理	类型推断（进阶）	类型推断（进阶）
编译原理	语义分析总装	语义分析总装
编译原理	为什么需要中间表示	为什么需要中间表示
编译原理	从抽象语法树降低表示	从抽象语法树降低表示
编译原理	三地址码	三地址码
编译原理	基本块	基本块
编译原理	控制流图	控制流图
编译原理	数据流分析（进阶）	数据流分析（进阶）
编译原理	静态单赋值形式（进阶）	静态单赋值形式（进阶）
编译原理	优化为什么必须保留行为	优化为什么必须保留行为
编译原理	常量折叠与常量传播	常量折叠与常量传播
编译原理	无用代码删除	无用代码删除
编译原理	公共子表达式消除	公共子表达式消除
编译原理	循环优化	循环优化
编译原理	函数内联（进阶）	函数内联（进阶）
编译原理	跨过程分析（进阶）	跨过程分析（进阶）
编译原理	优化流水线总装	优化流水线总装
编译原理	目标代码生成	目标代码生成
编译原理	指令选择	指令选择
编译原理	调用约定	调用约定
编译原理	活跃变量分析	活跃变量分析
编译原理	冲突图	冲突图
编译原理	寄存器着色与溢出	寄存器着色与溢出
编译原理	栈帧	栈帧
编译原理	生成汇编代码	生成汇编代码
编译原理	目标文件格式	目标文件格式
编译原理	重定位	重定位
编译原理	静态链接	静态链接
编译原理	动态链接与装载	动态链接与装载
编译原理	语言运行时	语言运行时
编译原理	闭包	闭包
编译原理	对象布局与方法调用（进阶）	对象布局与方法调用（进阶）
编译原理	异常处理（进阶）	异常处理（进阶）
编译原理	引用计数	引用计数
编译原理	追踪式垃圾回收	追踪式垃圾回收
编译原理	分代垃圾回收（进阶）	分代垃圾回收（进阶）
编译原理	解释器	解释器
编译原理	字节码与虚拟机	字节码与虚拟机
编译原理	即时编译（进阶）	即时编译（进阶）
编译原理	编译器总装	编译器总装
软件构造	从算法到软件	从算法到软件
软件构造	需求与边界	需求与边界
软件构造	分解、模块与接口	分解、模块与接口
软件构造	契约、错误与异常	契约、错误与异常
软件构造	日志与调试	日志与调试
软件构造	单元测试	单元测试
软件构造	集成测试与系统测试	集成测试与系统测试
软件构造	版本控制	版本控制
软件构造	协作与代码审查	协作与代码审查
软件构造	构建与依赖	构建与依赖
软件构造	数据持久化：何时文件已经不够	数据持久化：何时文件已经不够
软件构造	性能分析	性能分析
软件构造	可靠性与故障处理	可靠性与故障处理
软件构造	安全是共同责任	安全是共同责任
软件构造	维护与演化	维护与演化
软件构造	从一个问题到一个软件系统（全系列总装）	从一个问题到一个软件系统（全系列总装）
